Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/admin/logs?limit=30,77,71,67,4358.901603897283,55.96650001825765,30079.712299979292,344.84415584415586,1.2778721511421467,1.178297697806395,67,72,100,140,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/stats,337,320,65,3247.7850418409002,56.34990002727136,30177.343799965456,221.59050445103858,5.59276512902472,5.31063751124009,65,71,75,88,20000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=1&limit=20,6,6,60,72.62498333390492,56.90710002090782,115.6252000364475,150.0,0.09957445333575168,0.09957445333575168,69,69,75,75,120,120,120,120,120,120,120
GET,/api/admin/users?page=1&limit=20&is_active=false,2,2,61,69.32234999840148,60.76959997881204,77.87510001799092,150.0,0.033191484445250566,0.033191484445250566,78,78,78,78,78,78,78,78,78,78,78
GET,/api/admin/users?page=1&limit=20&is_active=true,1,1,62.00570001965389,62.00570001965389,62.00570001965389,62.00570001965389,150.0,0.016595742222625283,0.016595742222625283,62,62,62,62,62,62,62,62,62,62,62
GET,/api/admin/users?page=2&limit=20,9,9,69,3407.0825888710615,58.78649995429441,30062.31959996512,150.0,0.14936168000362754,0.14936168000362754,69,72,88,120,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=2&limit=20&is_active=false,2,2,56,15063.793650013395,55.966700019780546,30071.62060000701,150.0,0.033191484445250566,0.033191484445250566,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=2&limit=20&is_active=true,1,1,65.50650001736358,65.50650001736358,65.50650001736358,65.50650001736358,150.0,0.016595742222625283,0.016595742222625283,66,66,66,66,66,66,66,66,66,66,66
GET,/api/admin/users?page=3&limit=20,9,9,70,3411.8222111137584,59.48310001986101,30064.587999950163,150.0,0.14936168000362754,0.14936168000362754,70,70,80,180,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=3&limit=20&is_active=false,3,3,100,10075.488633320978,63.04219999583438,30061.916299979202,150.0,0.04978722666787584,0.04978722666787584,100,100,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=3&limit=20&is_active=true,2,2,61.06859998544678,64.58374997600913,61.06859998544678,68.09889996657148,150.0,0.033191484445250566,0.033191484445250566,68,68,68,68,68,68,68,68,68,68,68
GET,/api/admin/users?page=4&limit=20,7,5,120,5389.95619999644,57.41539999144152,19829.863900027703,124.0,0.11617019555837697,0.08297871111312641,120,120,17000,17000,20000,20000,20000,20000,20000,20000,20000
GET,/api/admin/users?page=4&limit=20&is_active=false,3,3,69,76.01860000674303,62.580900033935905,96.77849995205179,150.0,0.04978722666787584,0.04978722666787584,69,69,97,97,97,97,97,97,97,97,97
GET,/api/admin/users?page=4&limit=20&is_active=true,3,3,68,83.79949999895568,58.41070000315085,124.69829997280613,150.0,0.04978722666787584,0.04978722666787584,68,68,120,120,120,120,120,120,120,120,120
GET,/api/admin/users?page=5&limit=20,9,7,72,7955.713722201634,57.196399953681976,30061.23649998335,129.77777777777777,0.14936168000362754,0.11617019555837697,72,130,14000,27000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=5&limit=20&is_active=false,1,0,27799.016700009815,27799.016700009815,27799.016700009815,27799.016700009815,58.0,0.016595742222625283,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/admin/users?page=5&limit=20&is_active=true,1,1,125.22360001457855,125.22360001457855,125.22360001457855,125.22360001457855,150.0,0.016595742222625283,0.016595742222625283,130,130,130,130,130,130,130,130,130,130,130
POST,/auth/login [admin],200,0,26000,21075.737583498703,174.4745000032708,30212.008200003766,238.52,3.319148444525056,0.0,26000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
POST,/auth/login [user],800,0,26000,21698.510353874353,143.4051999822259,30208.018200006336,235.08,13.276593778100224,0.0,26000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
POST,/orders [POST],584,556,64,4254.998403767001,55.84499996621162,30176.075599971227,186.10102739726028,9.691913458013165,9.227232675779657,64,71,86,110,30000,30000,30000,30000,30000,30000,30000
GET,/orders [admin list],95,84,67,6355.490674743257,54.70810004044324,30104.97459996259,1450.5052631578947,1.5765955111494017,1.3940423467005236,67,74,9500,15000,30000,30000,30000,30000,30000,30000,30000
GET,/orders [user list],367,344,65,4127.842559125807,55.38829998113215,30210.56190005038,447.60490463215257,6.090637395703478,5.708935324583097,65,71,83,110,29000,30000,30000,30000,30000,30000,30000
GET,/orders/<id>,171,161,64,4000.0839292395817,56.559599994216114,30103.68080000626,143.21637426900585,2.837871920068923,2.6719144978426703,64,69,86,93,28000,30000,30000,30000,30000,30000,30000
PUT,/orders/<id>/status [PUT],54,50,69,9994.893357408862,58.20890003815293,30124.31210000068,144.33333333333334,0.8961700800217652,0.829787111131264,69,14000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/products [init],40,37,68,66.9455025010393,58.97260003257543,72.1549000008963,804.45,0.6638296889050113,0.6140424622371354,68,69,70,70,71,72,72,72,72,72,72
GET,/products/<id>,1117,1079,64,1874.1458101167748,54.85830001998693,30124.09649998881,155.7439570277529,18.53744406267244,17.906805858212678,64,69,74,80,130,23000,30000,30000,30000,30000,30000
GET,/products?[filters],2284,2197,63,1988.4609626973352,55.535799998324364,30158.564100041986,226.54553415061295,37.904675236476145,36.46084566310774,63,68,73,80,130,27000,30000,30000,30000,30000,30000
,Aggregated,6185,4953,66,5776.794808035601,54.70810004044324,30212.008200003766,244.46257073565076,102.64466564693737,82.19871122866302,66,82,170,13000,30000,30000,30000,30000,30000,30000,30000
